,6.8,6.9,7,7.1,7.2,7.3,7.4,7.5,7.6,7.7,7.8,7.9,8,8.1,8.2,8.3,8.4,8.5,8.6,8.7,8.8,8.9,9,9.1,9.2,9.3,9.4,9.5,9.6,9.7,9.8,9.9
2.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,24.8,25.1,25.4,25.7,26,26.3,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6
2.6,13.2,14.2,15.2,16.2,17.2,18.2,19.2,20.2,21.2,22.2,23.2,24.2,25.2,25.5,25.8,26.1,26.4,26.7,27,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3
2.7,13.9,14.9,15.9,16.9,17.9,18.9,19.9,20.9,21.9,22.9,23.9,24.9,25.9,26.2,26.5,26.8,27.1,27.4,27.7,28,28,28,28,28,28,28,28,28,28,28,28,28
2.8,14.6,15.6,16.6,17.6,18.6,19.6,20.6,21.6,22.6,23.6,24.6,25.6,26.6,26.9,27.2,27.5,27.8,28.1,28.4,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7
2.9,15.3,16.3,17.3,18.3,19.3,20.3,21.3,22.3,23.3,24.3,25.3,26.3,27.3,27.6,27.9,28.2,28.5,28.8,29.1,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4
3,16,17,18,19,20,21,22,23,24,25,26,27,28,28.3,28.6,28.9,29.2,29.5,29.8,30.1,30.1,30.1,30.1,30.1,30.1,30.1,30.1,30.1,30.1,30.1,30.1,30.1
3.1,16.3,17.3,18.3,19.3,20.3,21.3,22.3,23.3,24.3,25.3,26.3,27.3,28.3,28.6,28.9,29.2,29.5,29.8,30.1,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4
3.2,16.6,17.6,18.6,19.6,20.6,21.6,22.6,23.6,24.6,25.6,26.6,27.6,28.6,28.9,29.2,29.5,29.8,30.1,30.4,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7
3.3,16.9,17.9,18.9,19.9,20.9,21.9,22.9,23.9,24.9,25.9,26.9,27.9,28.9,29.2,29.5,29.8,30.1,30.4,30.7,31,31,31,31,31,31,31,31,31,31,31,31,31
3.4,17.2,18.2,19.2,20.2,21.2,22.2,23.2,24.2,25.2,26.2,27.2,28.2,29.2,29.5,29.8,30.1,30.4,30.7,31,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3
3.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,29.8,30.1,30.4,30.7,31,31.3,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6
3.6,17.8,18.8,19.8,20.8,21.8,22.8,23.8,24.8,25.8,26.8,27.8,28.8,29.8,30.1,30.4,30.7,31,31.3,31.6,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9
3.7,18.1,19.1,20.1,21.1,22.1,23.1,24.1,25.1,26.1,27.1,28.1,29.1,30.1,30.4,30.7,31,31.3,31.6,31.9,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2
3.8,18.4,19.4,20.4,21.4,22.4,23.4,24.4,25.4,26.4,27.4,28.4,29.4,30.4,30.7,31,31.3,31.6,31.9,32.2,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5
3.9,18.7,19.7,20.7,21.7,22.7,23.7,24.7,25.7,26.7,27.7,28.7,29.7,30.7,31,31.3,31.6,31.9,32.2,32.5,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8
4,19,20,21,22,23,24,25,26,27,28,29,30,31,31.3,31.6,31.9,32.2,32.5,32.8,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1
4.1,19.3,20.3,21.3,22.3,23.3,24.3,25.3,26.3,27.3,28.3,29.3,30.3,31.3,31.6,31.9,32.2,32.5,32.8,33.1,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4
4.2,19.6,20.6,21.6,22.6,23.6,24.6,25.6,26.6,27.6,28.6,29.6,30.6,31.6,31.9,32.2,32.5,32.8,33.1,33.4,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7
4.3,19.9,20.9,21.9,22.9,23.9,24.9,25.9,26.9,27.9,28.9,29.9,30.9,31.9,32.2,32.5,32.8,33.1,33.4,33.7,34,34,34,34,34,34,34,34,34,34,34,34,34
4.4,20.2,21.2,22.2,23.2,24.2,25.2,26.2,27.2,28.2,29.2,30.2,31.2,32.2,32.5,32.8,33.1,33.4,33.7,34,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3
4.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,32.8,33.1,33.4,33.7,34,34.3,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6
4.6,20.8,21.8,22.8,23.8,24.8,25.8,26.8,27.8,28.8,29.8,30.8,31.8,32.8,33.1,33.4,33.7,34,34.3,34.6,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9
4.7,21.1,22.1,23.1,24.1,25.1,26.1,27.1,28.1,29.1,30.1,31.1,32.1,33.1,33.4,33.7,34,34.3,34.6,34.9,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2
4.8,21.4,22.4,23.4,24.4,25.4,26.4,27.4,28.4,29.4,30.4,31.4,32.4,33.4,33.7,34,34.3,34.6,34.9,35.2,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5
4.9,21.7,22.7,23.7,24.7,25.7,26.7,27.7,28.7,29.7,30.7,31.7,32.7,33.7,34,34.3,34.6,34.9,35.2,35.5,35.8,35.8,35.8,35.8,35.8,35.8,35.8,35.8,35.8,35.8,35.8,35.8,35.8
5,22,23,24,25,26,27,28,29,30,31,32,33,34,34.3,34.6,34.9,35.2,35.5,35.8,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1
5.1,22.3,23.3,24.3,25.3,26.3,27.3,28.3,29.3,30.3,31.3,32.3,33.3,34.3,34.6,34.9,35.2,35.5,35.8,36.1,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4
5.2,22.6,23.6,24.6,25.6,26.6,27.6,28.6,29.6,30.6,31.6,32.6,33.6,34.6,34.9,35.2,35.5,35.8,36.1,36.4,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7
5.3,22.9,23.9,24.9,25.9,26.9,27.9,28.9,29.9,30.9,31.9,32.9,33.9,34.9,35.2,35.5,35.8,36.1,36.4,36.7,37,37,37,37,37,37,37,37,37,37,37,37,37
5.4,23.2,24.2,25.2,26.2,27.2,28.2,29.2,30.2,31.2,32.2,33.2,34.2,35.2,35.5,35.8,36.1,36.4,36.7,37,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3
5.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.3,37.1,37.9,38.7,39.5,39.9,40.3,40.7,41.1,41.5,41.6,41.7,41.7,41.7,41.7,41.7,41.7,41.7,41.7
5.6,24,25,26,27,28,29,30,31,32,33,34,35,36,36.8,37.6,38.4,39.2,40,40.4,40.8,41.2,41.6,42,42.1,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2
5.7,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.3,38.1,38.9,39.7,40.5,40.9,41.3,41.7,42.1,42.5,42.6,42.7,42.7,42.7,42.7,42.7,42.7,42.7,42.7
5.8,25,26,27,28,29,30,31,32,33,34,35,36,37,37.8,38.6,39.4,40.2,41,41.4,41.8,42.2,42.6,43,43.1,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2
5.9,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.3,39.1,39.9,40.7,41.5,41.9,42.3,42.7,43.1,43.5,43.6,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7
6,26,27,28,29,30,31,32,33,34,35,36,37,38,38.8,39.6,40.4,41.2,42,42.4,42.8,43.2,43.6,44,44.1,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2
6.1,26.3,27.3,28.3,29.3,30.3,31.3,32.3,33.3,34.3,35.3,36.3,37.3,38.3,39.1,39.9,40.7,41.5,42.3,42.7,43.1,43.5,43.9,44.3,44.4,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5
6.2,26.6,27.6,28.6,29.6,30.6,31.6,32.6,33.6,34.6,35.6,36.6,37.6,38.6,39.4,40.2,41,41.8,42.6,43,43.4,43.8,44.2,44.6,44.7,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8
6.3,26.9,27.9,28.9,29.9,30.9,31.9,32.9,33.9,34.9,35.9,36.9,37.9,38.9,39.7,40.5,41.3,42.1,42.9,43.3,43.7,44.1,44.5,44.9,45,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1
6.4,27.2,28.2,29.2,30.2,31.2,32.2,33.2,34.2,35.2,36.2,37.2,38.2,39.2,40,40.8,41.6,42.4,43.2,43.6,44,44.4,44.8,45.2,45.3,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4
6.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.3,41.1,41.9,42.7,43.5,43.9,44.3,44.7,45.1,45.5,45.6,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7
6.6,27.8,28.8,29.8,30.8,31.8,32.8,33.8,34.8,35.8,36.8,37.8,38.8,39.8,40.6,41.4,42.2,43,43.8,44.2,44.6,45,45.4,45.8,45.9,46,46,46,46,46,46,46,46
6.7,28.1,29.1,30.1,31.1,32.1,33.1,34.1,35.1,36.1,37.1,38.1,39.1,40.1,40.9,41.7,42.5,43.3,44.1,44.5,44.9,45.3,45.7,46.1,46.2,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3
6.8,28.4,29.4,30.4,31.4,32.4,33.4,34.4,35.4,36.4,37.4,38.4,39.4,40.4,41.2,42,42.8,43.6,44.4,44.8,45.2,45.6,46,46.4,46.5,46.6,46.6,46.6,46.6,46.6,46.6,46.6,46.6
6.9,28.7,29.7,30.7,31.7,32.7,33.7,34.7,35.7,36.7,37.7,38.7,39.7,40.7,41.5,42.3,43.1,43.9,44.7,45.1,45.5,45.9,46.3,46.7,46.8,46.9,46.9,46.9,46.9,46.9,46.9,46.9,46.9
7,29,30,31,32,33,34,35,36,37,38,39,40,41,41.8,42.6,43.4,44.2,45,45.4,45.8,46.2,46.6,47,47.1,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2
7.1,29.3,30.3,31.3,32.3,33.3,34.3,35.3,36.3,37.3,38.3,39.3,40.3,41.3,42.1,42.9,43.7,44.5,45.3,45.7,46.1,46.5,46.9,47.3,47.4,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5
7.2,29.6,30.6,31.6,32.6,33.6,34.6,35.6,36.6,37.6,38.6,39.6,40.6,41.6,42.4,43.2,44,44.8,45.6,46,46.4,46.8,47.2,47.6,47.7,47.8,47.8,47.8,47.8,47.8,47.8,47.8,47.8
7.3,29.9,30.9,31.9,32.9,33.9,34.9,35.9,36.9,37.9,38.9,39.9,40.9,41.9,42.7,43.5,44.3,45.1,45.9,46.3,46.7,47.1,47.5,47.9,48,48.1,48.1,48.1,48.1,48.1,48.1,48.1,48.1
7.4,30.2,31.2,32.2,33.2,34.2,35.2,36.2,37.2,38.2,39.2,40.2,41.2,42.2,43,43.8,44.6,45.4,46.2,46.6,47,47.4,47.8,48.2,48.3,48.4,48.4,48.4,48.4,48.4,48.4,48.4,48.4
7.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.3,44.1,44.9,45.7,46.5,46.9,47.3,47.7,48.1,48.5,48.6,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7
7.6,30.8,31.8,32.8,33.8,34.8,35.8,36.8,37.8,38.8,39.8,40.8,41.8,42.8,43.6,44.4,45.2,46,46.8,47.2,47.6,48,48.4,48.8,48.9,49,49,49,49,49,49,49,49
7.7,31.1,32.1,33.1,34.1,35.1,36.1,37.1,38.1,39.1,40.1,41.1,42.1,43.1,43.9,44.7,45.5,46.3,47.1,47.5,47.9,48.3,48.7,49.1,49.2,49.3,49.3,49.3,49.3,49.3,49.3,49.3,49.3
7.8,31.4,32.4,33.4,34.4,35.4,36.4,37.4,38.4,39.4,40.4,41.4,42.4,43.4,44.2,45,45.8,46.6,47.4,47.8,48.2,48.6,49,49.4,49.5,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6
7.9,31.7,32.7,33.7,34.7,35.7,36.7,37.7,38.7,39.7,40.7,41.7,42.7,43.7,44.5,45.3,46.1,46.9,47.7,48.1,48.5,48.9,49.3,49.7,49.8,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9
8,32,33,34,35,36,37,38,39,40,41,42,43,44,44.8,45.6,46.4,47.2,48,48.4,48.8,49.2,49.6,50,50.1,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2
8.1,32.3,33.3,34.3,35.3,36.3,37.3,38.3,39.3,40.3,41.3,42.3,43.3,44.3,45.1,45.9,46.7,47.5,48.3,48.7,49.1,49.5,49.9,50.3,50.4,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5
8.2,32.6,33.6,34.6,35.6,36.6,37.6,38.6,39.6,40.6,41.6,42.6,43.6,44.6,45.4,46.2,47,47.8,48.6,49,49.4,49.8,50.2,50.6,50.7,50.8,50.8,50.8,50.8,50.8,50.8,50.8,50.8
8.3,32.9,33.9,34.9,35.9,36.9,37.9,38.9,39.9,40.9,41.9,42.9,43.9,44.9,45.7,46.5,47.3,48.1,48.9,49.3,49.7,50.1,50.5,50.9,51,51.1,51.1,51.1,51.1,51.1,51.1,51.1,51.1
8.4,33.2,34.2,35.2,36.2,37.2,38.2,39.2,40.2,41.2,42.2,43.2,44.2,45.2,46,46.8,47.6,48.4,49.2,49.6,50,50.4,50.8,51.2,51.3,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4
8.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.3,47.1,47.9,48.7,49.5,49.9,50.3,50.7,51.1,51.5,51.6,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7
8.6,33.8,34.8,35.8,36.8,37.8,38.8,39.8,40.8,41.8,42.8,43.8,44.8,45.8,46.6,47.4,48.2,49,49.8,50.2,50.6,51,51.4,51.8,51.9,52,52,52,52,52,52,52,52
8.7,34.1,35.1,36.1,37.1,38.1,39.1,40.1,41.1,42.1,43.1,44.1,45.1,46.1,46.9,47.7,48.5,49.3,50.1,50.5,50.9,51.3,51.7,52.1,52.2,52.3,52.3,52.3,52.3,52.3,52.3,52.3,52.3
8.8,34.4,35.4,36.4,37.4,38.4,39.4,40.4,41.4,42.4,43.4,44.4,45.4,46.4,47.2,48,48.8,49.6,50.4,50.8,51.2,51.6,52,52.4,52.5,52.6,52.6,52.6,52.6,52.6,52.6,52.6,52.6
8.9,34.7,35.7,36.7,37.7,38.7,39.7,40.7,41.7,42.7,43.7,44.7,45.7,46.7,47.5,48.3,49.1,49.9,50.7,51.1,51.5,51.9,52.3,52.7,52.8,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9
9,35,36,37,38,39,40,41,42,43,44,45,46,47,47.8,48.6,49.4,50.2,51,51.4,51.8,52.2,52.6,53,53.1,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2
9.1,35.3,36.3,37.3,38.3,39.3,40.3,41.3,42.3,43.3,44.3,45.3,46.3,47.3,48.1,48.9,49.7,50.5,51.3,51.7,52.1,52.5,52.9,53.3,53.4,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5
9.2,35.6,36.6,37.6,38.6,39.6,40.6,41.6,42.6,43.6,44.6,45.6,46.6,47.6,48.4,49.2,50,50.8,51.6,52,52.4,52.8,53.2,53.6,53.7,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8
9.3,35.9,36.9,37.9,38.9,39.9,40.9,41.9,42.9,43.9,44.9,45.9,46.9,47.9,48.7,49.5,50.3,51.1,51.9,52.3,52.7,53.1,53.5,53.9,54,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1
9.4,36.2,37.2,38.2,39.2,40.2,41.2,42.2,43.2,44.2,45.2,46.2,47.2,48.2,49,49.8,50.6,51.4,52.2,52.6,53,53.4,53.8,54.2,54.3,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4
9.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.3,50.1,50.9,51.7,52.5,52.9,53.3,53.7,54.1,54.5,54.6,54.7,54.7,54.7,54.7,54.7,54.7,54.7,54.7
9.6,36.8,37.8,38.8,39.8,40.8,41.8,42.8,43.8,44.8,45.8,46.8,47.8,48.8,49.6,50.4,51.2,52,52.8,53.2,53.6,54,54.4,54.8,54.9,55,55,55,55,55,55,55,55
9.7,37.1,38.1,39.1,40.1,41.1,42.1,43.1,44.1,45.1,46.1,47.1,48.1,49.1,49.9,50.7,51.5,52.3,53.1,53.5,53.9,54.3,54.7,55.1,55.2,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3
9.8,37.4,38.4,39.4,40.4,41.4,42.4,43.4,44.4,45.4,46.4,47.4,48.4,49.4,50.2,51,51.8,52.6,53.4,53.8,54.2,54.6,55,55.4,55.5,55.6,55.6,55.6,55.6,55.6,55.6,55.6,55.6
9.9,37.7,38.7,39.7,40.7,41.7,42.7,43.7,44.7,45.7,46.7,47.7,48.7,49.7,50.5,51.3,52.1,52.9,53.7,54.1,54.5,54.9,55.3,55.7,55.8,55.9,55.9,55.9,55.9,55.9,55.9,55.9,55.9
10,38,39,40,41,42,43,44,45,46,47,48,49,50,50.8,51.6,52.4,53.2,54,54.4,54.8,55.2,55.6,56,56.1,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2
10.1,38.3,39.3,40.3,41.3,42.3,43.3,44.3,45.3,46.3,47.3,48.3,49.3,50.3,51.1,51.9,52.7,53.5,54.3,54.7,55.1,55.5,55.9,56.3,56.4,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5
10.2,38.6,39.6,40.6,41.6,42.6,43.6,44.6,45.6,46.6,47.6,48.6,49.6,50.6,51.4,52.2,53,53.8,54.6,55,55.4,55.8,56.2,56.6,56.7,56.8,56.8,56.8,56.8,56.8,56.8,56.8,56.8
10.3,38.9,39.9,40.9,41.9,42.9,43.9,44.9,45.9,46.9,47.9,48.9,49.9,50.9,51.7,52.5,53.3,54.1,54.9,55.3,55.7,56.1,56.5,56.9,57,57.1,57.1,57.1,57.1,57.1,57.1,57.1,57.1
10.4,39.2,40.2,41.2,42.2,43.2,44.2,45.2,46.2,47.2,48.2,49.2,50.2,51.2,52,52.8,53.6,54.4,55.2,55.6,56,56.4,56.8,57.2,57.3,57.4,57.4,57.4,57.4,57.4,57.4,57.4,57.4
10.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.3,53.1,53.9,54.7,55.5,55.9,56.3,56.7,57.1,57.5,57.6,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7
10.6,39.8,40.8,41.8,42.8,43.8,44.8,45.8,46.8,47.8,48.8,49.8,50.8,51.8,52.6,53.4,54.2,55,55.8,56.2,56.6,57,57.4,57.8,57.9,58,58,58,58,58,58,58,58
10.7,40.1,41.1,42.1,43.1,44.1,45.1,46.1,47.1,48.1,49.1,50.1,51.1,52.1,52.9,53.7,54.5,55.3,56.1,56.5,56.9,57.3,57.7,58.1,58.2,58.3,58.3,58.3,58.3,58.3,58.3,58.3,58.3
10.8,40.4,41.4,42.4,43.4,44.4,45.4,46.4,47.4,48.4,49.4,50.4,51.4,52.4,53.2,54,54.8,55.6,56.4,56.8,57.2,57.6,58,58.4,58.5,58.6,58.6,58.6,58.6,58.6,58.6,58.6,58.6
10.9,40.7,41.7,42.7,43.7,44.7,45.7,46.7,47.7,48.7,49.7,50.7,51.7,52.7,53.5,54.3,55.1,55.9,56.7,57.1,57.5,57.9,58.3,58.7,58.8,58.9,58.9,58.9,58.9,58.9,58.9,58.9,58.9
